DST name ,Short Title,Decision Phase,Decision Step,Decision Task ,Decision Phase Type 
A guidebook to spatial datasets for conservation planning under climate change in the Pacific Northwest,Planning Guidebook ,Restore & Adapt,Plan,Cat-Lib-Toolkit,Non-Stasis
Adaptation Quick Guide for Land Trusts,AdaptQuickGuide - Land Trusts,Restore & Adapt,All,Framework-Strategy,Non-Stasis
Adaptation Quick Guide for Natural Resources Professionals,AdaptQuickGuide - NR Professionals,Restore & Adapt,All,Framework-Strategy,Non-Stasis
Adaptation Quick Guide -Spanish Language,AdaptQuickGuide - Spanish,Restore & Adapt,All,Framework-Strategy,Non-Stasis
Adaptation Menus,Adaptation Menus,Restore & Adapt,All,Cat-Lib-Toolkit,Non-Stasis
Adaptation Workbook,Adaptation Workbook,Restore & Adapt,All,Framework-Strategy ,Non-Stasis
ArcGIS Survey 1-2-3,ArcGIS Survey 1-2-3,Restore & Adapt,Engage,ParticData,Non-Stasis
Burn Severity Viewer,Burn Severity Viewer,Emerg Stabz,Assess/Plan,Database-Mapping,Stasis
Climate Adapted Seed Tool (CAST),CAST,Restore & Adapt,Implement,Recommend,Non-Stasis
Climate BC/WNA/NA,Climate BC/WNA/NA,Restore & Adapt,Assess,Database-Mapping,Non-Stasis
Climate Change Adaptation Library,CC Adapt Library,Restore & Adapt,All,Cat-Lib-Toolkit,Non-Stasis
Climate Change Resource Center (see comment).,CC Resource Ctr,Restore & Adapt,All,Cat-Lib-Toolkit,Non-Stasis
Climate Change Response Framework,CC Response Framework,Restore & Adapt,All,Framework/ Strategy/ Approach,Non-Stasis
Climate Futures Toolbox,Clim Futures Toolbox,Restore & Adapt,Plan,Predict-Project-Scenario,Non-Stasis
"Climate Impacts Group, Choosing and using climate change scenarios for ecological impacts assessments and conservation decisions",Choosing CC Scenarios,Restore & Adapt,Engage,Facilitate,Non-Stasis
Climate Mapper,Climate Mapper,Restore & Adapt,Assess,Database-Mapping,Non-Stasis
Climate Resilience Toolkit,ClimResilToolkit,Restore & Adapt,All,Cat-Lib-Toolkit,Non-Stasis
Climate Smart Restoration Tool,ClimSmartRestor,Restore & Adapt,Plan,Database-Mapping,Non-Stasis
Climate Toolbox,ClimToolbox ,Restore & Adapt,Assess,Database-Mapping,Non-Stasis
Climate-wise Reforestation Toolkit,Clim Reforest Toolkit,Restore & Adapt,Plan,Analyze-Prioritize,Non-Stasis
Climate-Wise Reforestation Toolkit (California),ClimReforest Toolkit (CA),Restore & Adapt,Plan,Database-Mapping,Non-Stasis
Composite Burn Index (CBI),CBI,Emerg Stabz,Assess,Measure,Stasis
Crown post-fire index (Crown PFI),Crown PFI,Emerg Stabz,Assess,Measure,Stasis
Data Basin,Data Basin,Restore & Adapt,All,Cat-Lib-Toolkit,Non-Stasis
Data Gathering and Analysis/ ECOP Process,ECOP Process,Restore & Adapt,All,Framework-Strategy,Non-Stasis
Ecosystem Disturbance and Recovery Tracker (eDaRT) ,eDaRT,Restore & Adapt,M&E,M&E,Non-Stasis
Fire Adapted Communities Learning Network - Resources,FAC Net-Resc,Restore & Adapt,All,Cat-Lib-Toolkit,Non-Stasis
Fire Adapted Communities Pathways Tool,FAC Net-Pathways,Restore & Adapt,Engage,Facilitate ,Non-Stasis
FIRE-BIRD,FIRE-BIRD,Restore & Adapt,Plan,Analyze-Prioritize,Non-Stasis
Fire Refugia Index,Fire Refugia Index,Restore & Adapt,Plan,Analyze-Prioritize,Non-Stasis
First Order Fire Effects Model (FOFEM),FOFEM,Emerg Stabz,Plan,Predict-Project-Scenario,Stasis
Forest Planner,Forest Planner,Restore & Adapt,Plan,Predict-Project-Scenario,Non-Stasis
Forest Vegetation Simulator,FVS,Restore & Adapt,Plan,Predict-Project-Scenario,Non-Stasis
Forest Vegetation Simulator - Fire and Fuels extension,FVS-Fire-Fuel ,Restore & Adapt,Plan,Predict-Project-Scenario,Non-Stasis
ForWarn III ,ForWarn III,Emerg Stabz,M&E,M&E,Statis
Fuel and Fire Tools (FFT),FFT,Restore & Adapt,Plan,Predict-Project-Scenario,Stasis
Human Ecology Mapping (HEM)Tool ,HEM Tool,Restore & Adapt,Engage, Partic-Data,Non-Stasis
Interagency Burned Area Rehabilitation Guidebook,Interagency BAR Guide,Rehab,Plan,Analyze-Prioritize,Stasis
LANDFIRE Program ,LANDFIRE Program ,Restore & Adapt,Plan,Database-Mapping,Non-Stasis
"Mapping, Prioritization, and Public Participation (M3P) Tool",M3P Tool,Restore & Adapt,Engage,Engagement - Data Tools ,Non-Stasis
MC2 Dynamic Vegetation Model ,MC2,Restore & Adapt,Plan,Predict-Project-Scenario,Non-Stasis
Monitoring Trends in Burn Severity,MTBS,Restore & Adapt,M&E,M&E,Non-Stasis
National Climate Change Viewer,National Climate Change Viewer,Restore & Adapt,Assess,Database-Mapping,Non-Stasis
National Extension Climate Initiative,NECI,Restore & Adapt,All,Share,Non-Stasis
Natural Resources Conservation Service (NRCS) - Web soil survey,NRCS_Soil Survey,Emerg Stabz,Assess,Database-Mapping,Stasis
Natural Resources Conservation Service (NRCS)-  Soil Survey Geographic Database (SSURGO),NRCS_ SSURGO,Emerg Stabz,Assess,Database-Mapping,Stasis
Next Generation Fire Severity Mapping ,NextGen-FireSeverityMapping,Restore & Adapt,Plan,Database-Mapping,Non-Stasis
Northwest Fire Sciences Consortium: Resources,NW FireSci_Resources,Restore & Adapt,All,Cat-Lib-Toolkit,Non-Stasis
Oregon Explorer,OR_Explorer ,Restore & Adapt,All,Cat-Lib-Toolkit,Non-Stasis
Phenology Visualization Tool ,Phenology Visual Tool ,Restore & Adapt,Plan,Database-Mapping,Non-Stasis
Planscape ,Planscape ,Restore & Adapt,Plan,Analyze-Prioritize,Non-Stasis
Postfire Restoration Framework for National Forests in California,Postfire Restoration CA,Restore & Adapt,All,Framework-Strategy,Non-Stasis
Reforestation Tool for Tree Mortality Landscapes ,Reforest -Tree Mortality,Restore & Adapt,Plan,Analyze-Prioritize,Non-Stasis
Postfire Conifer Reforestation Planning Tool (PostCRPT),PostCRPT,Restore & Adapt,Plan,Analyze-Prioritize,Non-Stasis
Postfire Reforestation Success Estimation Tool (PReSET),PReSET ,Restore & Adapt,Plan,Analyze-Prioritize,Non-Stasis
Potential Ecosystem Resilience and Resistance in Sagebrush Habitat,Sagebrush habitat,Restore & Adapt,Plan,Database-Mapping,Non-Stasis
Provisional Seed Zones for native plants / Provisional Seed Zones Tool (PSZT),PSZT,Restore & Adapt,Plan,Analyze-Prioritize,Non-Stasis
Rapid Assessment of Vegetation Conditions after Wildfire (RAVG) Program,RAVG,Emerg Stabz,Assess,Database-Mapping,Stasis
RegenMapper,RegenMapper,Restore & Adapt,Plan,Analyze-Prioritize,Non-Stasis
Resist-Accept-Direct (RAD) Framework,RAD Framework,Restore & Adapt,All,Framework-Strategy,Non-Stasis
Scenarios as a tool for adaptive forest management: A guide. ,Scenarios-AdaptMgmt-Guide.,Restore & Adapt,Plan,Predict-Project-Scenario,Non-Stasis
Seedlot Selection Tool,Seedlot SelectTool,Restore & Adapt,Implement,Recommend,Non-Stasis
"Short Guide to Agencies, Programs, and Practices for Burned Area Rehabilitation",Short BAR guide,Rehab,All,Framework-Strategy,Stasis
"Data Tool""",SoilBurnSeverity,Emerg Stabz,Assess,Measure,Stasis
Soil post-fire index (PFI),Soil PFI,Emerg Stabz,Assess,Measure,Stasis
Southern Rockies Reforestation Tool (SRRT),SRRT,Restore & Adapt,Plan,Analyze-Prioritize,Non-Stasis
Species Potential Habitat Tool,SppPotentialHabitat,Restore & Adapt,Plan,Analyze-Prioritize,Non-Stasis
"Success Stories, Forests and Rangelands (elsewhere, Fire Adapted Communities Case Studies)",Success Stories,Restore & Adapt,Plan,Case Study,Non-Stasis
Template for Assessing Climate Change Impacts and Management Options (TACCIMO) ,TACCIMO,Restore & Adapt,Plan,Database-Mapping,Non-Stasis
Threat-based Land Management ,Threat-based Land Management ,Restore & Adapt,M&E,M&E,Non-Stasis
