DST name ,Short Title,Decision Phase,Decision Step,Decision Task ,Decision Phase Type ,Description,Website,Citation
A guidebook to spatial datasets for conservation planning under climate change in the Pacific Northwest,Planning Guidebook ,Restoration & Adaptation,Plan,Cat-Lib-Toolkit,Non-Stasis,Spatial Datasets for planning,https://doi.org/10.5066/P92L1H7O,"Cartwright, J.M., ed. 2020. A guidebook to spatial datasets for conservation planning under climate change in the Pacific Northwest. U.S. Geological Survey. https://doi.org/10.5066/P92L1H7O"
Adaptation Quick Guide for Land Trusts,AdaptQuickGuide - Land Trusts,Restoration & Adaptation,All,Framework-Strategy,Non-Stasis,"A toolkit that provides an entry point to adaptation planning for land trusts. This guide was adapted from the USDA Forest Service report Forest Adaptation Resources: Climate Change Tools and Approaches for Land Managers, 2nd edition. ",https://doi.org/10.2737/NRS-INF-40-22,"Citation: Janowiak, Maria; Shannon, Danielle; Schmitt, Kristen; Baroli, Madeline; Brandt, Leslie; Handler, Stephen; Butler-Leopold, Patricia; Ontl, Todd; Peterson, Courtney; Rutledge, Annamarie; Swanston, Chris. 2022. A quick guide to adaptation planning for land trusts. NRS-INF-40-22. Madison, WI: U.S. Department of Agriculture, Forest Service, Northern Research Station. 14 p. https://doi.org/10.2737/NRS-INF-40-22."
Adaptation Quick Guide for Natural Resources Professionals,AdaptQuickGuide - NR Professionals,Restoration & Adaptation,All,Framework-Strategy,Non-Stasis,"A toolkit that provides an entry point to adaptation planning for natural resources professionals. This guide was adapted from the USDA Forest Service report Forest Adaptation Resources: Climate Change Tools and Approaches for Land Managers, 2nd edition. ",https://doi.org/10.2737/NRS-INF-41-22.," Janowiak, Maria; Shannon, Danielle; Schmitt, Kristen; Baroli, Madeline; Brandt, Leslie; Handler, Stephen; Butler-Leopold, Patricia; Ontl, Todd; Peterson, Courtney; Rutledge, Annamarie; Swanston, Chris. 2022. A quick guide to adaptation planning for natural resources professionals. NRS-INF-41-22. Madison, WI: U.S. Department of Agriculture, Forest Service, Northern Research Station. 14 p. https://doi.org/10.2737/NRS-INF-41-22."
Adaptation Quick Guide -Spanish Language,AdaptQuickGuide - Spanish,Restoration & Adaptation,All,Framework-Strategy,Non-Stasis,NA ,https://niacs.org/our-work/decision-support-tools,NA 
Adaptation Menus,Adaptation Menus,Restoration & Adaptation,All,Cat-Lib-Toolkit,Non-Stasis,"Topical lists of adaptation actions that  help users move from broad ideas to specific actions, and express the adaptation intent of user actions. ",https://forestadaptation.org/adapt/adaptation-strategies,NA
Adaptation Workbook,Adaptation Workbook,Restoration & Adaptation,All,Framework-Strategy ,Non-Stasis,"A structured process to consider the potential effects of climate change and design land management and conservation actions that can help prepare for changing conditions. Emphases: Climate impacts, management goals, planning strategy.",https://adaptationworkbook.org/,NA
ArcGIS Survey 1-2-3,ArcGIS Survey 1-2-3,Restoration & Adaptation,Engage,ParticData,Non-Stasis,A software to create and analyze survey results with easy implementation for maps into surveys,https://survey123.arcgis.com/,
Burn Severity Viewer,Burn Severity Viewer,Emergency Stabilization,Assess/Plan,Database-Mapping,Stasis,,https://burnseverity.cr.usgs.gov/viewer/,
Climate Adapted Seed Tool (CAST),CAST,Restoration & Adaptation,Implement,Recommend,Non-Stasis,Web-based tool that helps ecosystem managers identify seed sources best adapted to local climate conditions at their planting sites.  Intended to be used after Post-fire Conifer Regeneration Planning Tool and Post-fire Reforestation Success Estimation Tool,https://reforestationtools.org/climate-adapted-seed-tool/,"[No citation is published - we will have to create a citation based on available information: Stewart, J.A.E., et al.]"
Climate BC/WNA/NA,Climate BC/WNA/NA,Restoration & Adaptation,Assess,Database-Mapping,Non-Stasis,A program to generate high-resolution climate data for climate change studies and applications in British Columbia and western North America,https://cfcg.forestry.ubc.ca/projects/climate-data/climatebcwna/,
Climate Change Adaptation Library,CC Adapt Library,Restoration & Adaptation,All,Cat-Lib-Toolkit,Non-Stasis,"Library/catalog of various  climate change vulnerability assessments and relevant projects/articles. Works are summarized to include key sensitivities, broad strategies, and specific tactics to implement when confronting with a certain issue. Furthermore, they are categorized by region, keywords, climate change impacts, and resource area",https://adaptationpartners.org/library.php ,Needed: develop citation. 
Climate Change Resource Center (see comment).,CC Resource Ctr,Restoration & Adaptation,All,Cat-Lib-Toolkit,Non-Stasis,Directs users to various online tools to help manage landscape for climate change,https://www.fs.usda.gov/ccrc/,Needed: develop citation. 
Climate Change Response Framework,CC Response Framework,Restoration & Adaptation,All,Framework/ Strategy/ Approach,Non-Stasis,Integrating climate change considerations into land management,https://forestadaptation.org/,
Climate Futures Toolbox,Clim Futures Toolbox,Restoration & Adaptation,Plan,Predict-Project-Scenario,Non-Stasis,Open source software package using GitHub: Provides easy access to climate data to support climate scenario planning. Enables users to navigate barriers of big data.,https://doi.org/10.5281/zenodo.7144863; ,"Ty Tuff, Megan Collins, Travis Williams, Max Joseph, Natasha Stavros, & Erick Verleye. (2022). Climate Futures Toolbox (1.0.0). Zenodo. https://doi.org/10.5281/zenodo.7144863"
"Climate Impacts Group, Choosing and using climate change scenarios for ecological impacts assessments and conservation decisions",Choosing CC Scenarios,Restoration & Adaptation,Engage,Facilitate,Non-Stasis,"Guidelines for selecting climate change scenarios in ecological impacts assessments and conservation decisions. Addresses the problem of uncertainty: With the current proliferation of climate simulations and downscaling methods, scientifically credible strategies for selecting a subset for analysis and decision making are needed. ",https://doi.org/10.1111/cobi.12163,"Snover, A.K., Mantua, N.J., Littell, J.S., Alexander, M.A., McClure, M., Nye, J. 2013. Choosing and using climate change scenarios for ecological impacts assessments and conservation decisions. Conservation Biology 27(6): 1147-1157. https://doi.org/10.1111/cobi.12163"
Climate Mapper,Climate Mapper,Restoration & Adaptation,Assess,Database-Mapping,Non-Stasis,Localize climate data (historic data and future projections),https://climatetoolbox.org/tool/climate-mapper,Need to develop.
Climate Resilience Toolkit,ClimResilToolkit,Restoration & Adaptation,All,Cat-Lib-Toolkit,Non-Stasis," A website designed to help people find and use tools, information, and subject matter expertise to build climate resilience. The Toolkit offers information from all across the U.S. federal government in one easy-to-use location.",https://toolkit.climate.gov/,"U.S. Federal Government, 2014: U.S. Climate Resilience Toolkit. [Online] http://toolkit.climate.gov. Accessed [12/11/24]."
Climate Smart Restoration Tool,ClimSmartRestor,Restoration & Adaptation,Plan,Database-Mapping,Non-Stasis,Information on seed collection and transfer of native plants for current and future climates.  Calculates and maps current and future seed transfer limits for plant species with or without genetic information using climate data generating from ClimateNA (Wang et al. 2016).,https://climaterestorationtool.org/csrt/ ,"Need to develop. See ""People"" tab (upper right of page). (FMI - See the  Seedlot Selection Tool  for additional acknowledgments and funding sources. Software development was led by Conservation Biology Institute.)"
Climate Toolbox,ClimToolbox ,Restoration & Adaptation,Assess,Database-Mapping,Non-Stasis,A collection of tools that provide maps and graphs of climate and hydrology data so there is no need to download or process the data yourself to obtain the important information the data contain. ,https://climatetoolbox.org/,Need to develop.
Climate-wise Reforestation Toolkit,Clim Reforest Toolkit,Restoration & Adaptation,Plan,Analyze-Prioritize,Non-Stasis,"A toolkit (3 tools)  to inform restoration decisions and improve restoration outcomes in the context of climate change: (1) prioritize where to reforest; (2) explore post-drought stand conditions; (3) consider best practices for reforestaion, considering climate change impacts. Developed for California. ",https://climate-wise.shinyapps.io/reforest_toolkit/,"CITATION IN PROGRESS - CONTENT: Zack Steel, Marc Meyer, Amarina Wuenschel, Steve Ostoja, and Malcolm North with funding provided by the US Forest Service"
Climate-Wise Reforestation Toolkit (California),ClimReforest Toolkit (CA),Restoration & Adaptation,Plan,Database-Mapping,Non-Stasis,Reforestation Guidance for CA following drought and fire tree mortality,https://climate-wise.shinyapps.io/reforest_toolkit/,https://climate-wise.shinyapps.io/reforest_toolkit/
Composite Burn Index (CBI),CBI,Emergency Stabilization,Assess,Measure,Stasis,An index of burn severity developed to assess fire effects on vegetation and soil. Composite burn index (CBI) plots rate the burn severity for five categories of vegetation and soil. An overall CBI index can be calculated based on these five ratings. This index facilitates comparison of fire effects over large regions and time over large areas. ,https://burnseverity.cr.usgs.gov/products/cbi,"Key, Carl H.; Benson, Nathan C. 2006. FIREMON - Landscape assessment. Pages LA 1-55 In: Lutes, Duncan C.; Keane, Robert E.; Caratti, John F.; Key, Carl H.; Benson, Nathan C.; Sutherland, Steve; Gangi, Larry J. 2006. FIREMON: Fire effects monitoring and inventory system. General Technical Report RMRS-GTR-164-CD. Fort Collins, CO: USDA Forest Service, Rocky Mountain Research Station."
