No.,Short Title,Tool Name,Website,Description,Region or Habitat ,"Spatial scale: Stand, Project, Fireshed, Region",Deprecated,Decision Phase,Decision Step,Decision Task ,Secondary Classif: Decision Stage,Secondary Classif: Step,Secondary Classif: Task,Citation ,Full Citation ,Secondary internet location,Developer/ Credits,How applied?,Tool Development Opportunities,Related Publications - 1,Related Publications - 2,Related Publications - 3,Related Publications - 4,Notes
1,Adaptation Workbook,Adaptation Workbook,https://adaptationworkbook.org/,"Structured decision-support process for assessing climate impacts, evaluating management goals, and developing conservation strategies for changing conditions.","Midwest, Northeast; Also, U.S.;  Global",Project,No,Restore & Adapt,All,Framework / Strategy / Approach,Restore & Adapt ,Plan,Catalogue / Library,www,https://adaptationworkbook.org/,n/a,"USDA Northern Forests Climate Hub and the Northern Institute of Applied Climate Science, a multi-institutional partnership led by USFS","Managers and landowners could use this workbook to develop and implement climate-informed management actions, including habitat management, restoration, and planning for future conditions.",,"Swanston, Chris; Janowiak, Maria, eds. 2016. Forest Adaptation Resources: Climate change tools and approaches for land managers, 2nd Edition. Gen. Tech. Rep. NRS-87-2. Newtown Square, PA: U.S. Department of Agriculture, Forest Service, Northern Research Station.161 p. ","Janowiak, Maria K.; Swanston, Christopher W.; Nagel, Linda M.; Brandt, Leslie A.; Butler, Patricia R.; Handler, Stephen D.; Shannon, P. Danielle; Iverson, Louis R.; Matthews, Stephen N.; Prasad, Anantha; Peters, Matthew P. 2014. A practical approach for translating climate change adaptation principles into forest management actions. Journal of Forestry. 112(5): 424-433. ","Janowiak, M.; Dostie, D.; Wilson, M.; Kucera, M.; Skinner, R.H.; Hatfield, J.L.; Hollinger, D.; Swanston, C. 2016. Adaptation Resources for Agriculture: Responding to Climate Variability and Change in the Midwest and Northeast. Washington, DC: U.S. Department of Agriculture. 70 p.",n/a,n/a
2,BAERCAT,Burned Area Emergency Response Treatments Catalog,www.fs.usda.gov/eng/pubs/pdf/BAERCAT/lo_res/06251801L.pdf,"BAER (Burned Area Emergency Response) treatments catalog that includes various postfire treatments for land, channels, roads, and protection and savety. ",U.S.,"Project, Fireshed",No,Emrg Stablz,Assess / Plan,Information: Database & Mapping,n/a,n/a,n/a,"Napper, 2006","Napper C. (2006). Burned area emergency response treatments catalog (pp. 0625-1801). US Forest Service, San Dimas Technology and Development Center.",https://www.govinfo.gov/app/details/GOVPUB-A13-PURL-gpo239986,"Napper, US Forest Service, San Dimas Technology and Development Center.",A catalog of treatments performed under BAER ,,n/a,n/a,n/a,n/a,n/a
3,Burn Severity Portal,Burn Severity Portal,https://burnseverity.cr.usgs.gov/,An interagency portal that provides comprehensive access to federal burn severity mapping data and field assessment data.,U.S.,Fireshed,No,Restore & Adapt,Asses,Information: Database & Mapping,Restore & Adapt,Plan,Analyze & Prioritize,www,https://burnseverity.cr.usgs.gov/,n/a,"USDA, USFS, DOI, USGS","Used for emergency stabilization, rehabilitation planning, vegetation recovery assessment, restoration prioritization, wildfire effects monitoring, and evaluation of fire patterns and trends over time.",,n/a,n/a,n/a,n/a,n/a
4,BurnPro3D ,BurnPro3D Beta Testing,https://burnpro3d.sdsc.edu/index.html,A platform that uses fire/atmosphere models to simulate fire behavior and support prescribed fire planning and risk assessment.,Not specified,Project,To be released,Restore & Adapt,Plan,Predict / Project / Scenario,n/a,n/a,n/a,www,https://burnpro3d.sdsc.edu/index.html,n/a,WIFIRE,"Used to prioritize fuel treatments, plan prescribed burns, simulate fire behavior scenarios, and evaluate risks and tradeoffs in fire management decisions.",,n/a,n/a,n/a,n/a,n/a
5,CAKE,Climate Adaptation Knowledge Exchange,https://www.cakex.org/,"Knowledge-sharing platform that provides access to a digital library of climate change adaptation case studies, tools, and resources.",U.S.,"Stand, Project, Fireshed",No,Restore & Adapt,All,Knowledge Share ,Restore & Adapt,Plan,Information: Database & Mapping,www,https://www.cakex.org/,n/a,EcoAdapt,"Used to support climate adaptation planning and implementation by providing access to case studies, tools, and resources that inform assessment, planning, implementation, and evaluation of adaptation strategies, and to facilitate learning and knowledge exchange across sectors.",,n/a,n/a,n/a,n/a,n/a
6,CAST,Climate Adapted Seed Tool (CAST),https://reforestationtools.org/climate-adapted-seed-tool/,Web-based tool that helps ecosystem managers identify seed sources best adapted to local climate conditions at their planting sites. Intended to be used after Post-fire Conifer Regeneration Planning Tool and Post-fire Reforestation Success Estimation Tool.,"CA, OR, WA, ID, & NV. Some features limited to CA. Some focus on Sierra Nevada forests, CA",Project,No,Restore & Adapt,Implement,Recommend,n/a,n/a,n/a,www,https://reforestationtools.org/climate-adapted-seed-tool/. ,n/a,"Stewart, J., Zhao, Y., with Wright, J., O'Neill, G. Stewart J. affiliation: UC Davis. Funders: CalFire; University of California; USFS Pacific Southwest Research Station.",Managers could use this tool to select best seed sources to maximize tree growth based on expected decrease in future growth with warming climate.,,n/a,n/a,n/a,n/a,n/a
7,CBI,Composite Burn Index (CBI),https://burnseverity.cr.usgs.gov/products/cbi,An index of burn severity developed to assess fire effects on vegetation and soil. Composite burn index (CBI) plots rate the burn severity for five categories of vegetation and soil. An overAllCBI index can be calculated based on these five ratings. This index facilitates comparison of fire effects over large regions and time over large areas. ,"United States (but, primarily U.S. West)",Stand,No,Emrg Stablz,Assess / Plan,Measurement,Rehab,Assess,Measurement,Lutes et al. 2006,"Lutes DC, Keane RE, Caratti JF, Key CH, Benson NC, Sutherland S, Gangi LJ (2006) FIREMON: Fire effects monitoring and inventory system. General Technical Report RMRS-GTR-164-CD. Fort Collins, CO: USDA Forest Service, Rocky Mountain Research Station.",n/a,"Key, Carl H.; Benson, Nathan C. Agencies: USFS, US Dept. of Interior, USGS.",Assessment of burn severity to identify high burn severity areas where active land management may be required for reforestation.,,n/a,n/a,n/a,n/a,n/a
8,CC Adapt Library,Climate Change Adaptation Library,https://adaptationpartners.org/library.php ,"Library/catalog of various climate change vulnerability assessments and relevant projects/articles. Works are summarized to include key sensitivities, broad strategies, and specific tactics to implement when confronting with a certain issue. Furthermore, they are categorized by region, keywords, climate change impacts, and resource area.","U.S., organized by US Forest Service Region",Project,No,Restore & Adapt,All,Catalogue / Library,n/a,n/a,n/a,www,https://adaptationpartners.org/library.php ,n/a,Adaptation Partners,Land managers could consult this library to identify relevant actions to take and things to consider for climate-adaptive post-fire management projects in the western US.,,"Halofsky, J.E.; Andrews-Key, S.A.; Edwards, J.E.; Johnston, M.H.; Nelson, H.W.; Peterson, D.L.; Schmitt, K.M.; Swanston, C.W.; Williamson, T.B. (2018). Adapting forest management to climate change: The state of science and applications in Canada and the United States. Forest Ecology and Management. 421: 84–97. https://doi.org/10.1016/j.foreco.2018.02.037.","Halofsky, J.E.; Peterson, D.L. (2016). Climate change vulnerabilities and adaptation options for forest vegetation management in the northwestern USA. Atmosphere. 7: article 46. https://doi.org/10.3390/atmos7030046.","Halofsky, J.E.; Peterson, D.L., eds. (2017). Climate change vulnerability and adaptation in the Blue Mountains. Gen. Tech. Rep. PNW-GTR-939. Portland, OR: U.S. Department of Agriculture, Forest Service, Pacific Northwest Research Station. https://www.fs.usda.gov/treesearch/pubs/53937.","Halofsky, J.E.; Peterson, D.L.; Dante-Wood, S.K.; Hoang, L.; Ho, J.J.; Joyce, L.A., eds. (2018). Climate change vulnerability and adaptation in the Northern Rocky Mountains. Gen. Tech. Rep. RMRS-GTR-374. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. Part 1: https://www.fs.usda.gov/treesearch/pubs/55974. Part 2: https://www.fs.usda.gov/treesearch/pubs/55975.",n/a
9,CC Resource Center,Climate Change Resource Center,https://www.climatehubs.usda.gov/hubs/climate-change-resource-center,Directs users to various online tools to help manage landscape for climate change.,U.S.,"Stand, Project, Fireshed",To be released,Restore & Adapt,All,Catalogue / Library,n/a,n/a,n/a,www,https://www.fs.usda.gov/ccrc/,n/a,Forest Service Research and Development and the Office of Sustainability and Climate,"Provides climate change information, tools, and management-relevant resources that can be used to support adaptation and mitigation planning, evaluate climate risks, and guide implementation of climate-resilient management strategies.",,n/a,n/a,n/a,n/a,n/a
10,CC Response Framework,Climate Change Response Framework,https://forestadaptation.org/,Integrating climate change considerations into land management.,"Upper Midwest, Northeast, also U.S.",Project,No,Restore & Adapt,All,Framework / Strategy / Approach,n/a,n/a,n/a,www,https://forestadaptation.org/,n/a,"USDA Northern Forests Climate Hub and the Northern Institute of Applied Climate Science, a collaborative, multi-institutional partnership led by the USFS","Provides a scalable model for collaborative climate change response across large and diverse landscapes, can support the development and application of climate adaptation startegies that can be adjusted and transferred to other regions and landscape contexts.",,n/a,n/a,n/a,n/a,n/a
